author,description
Бережний Микола Федоров.,"Човни. 1974. Папір, акварель. 55,5х69,5"
Бережний Микола Федоров.,"Омськ. Новий міст. 1970. Папір, акварель. 60х83"
Бережний Микола Федоров.,"Міський пейзаж. 1976. Папір, вугіль. 68,5х56"
Бережний Микола Федоров.,"Троянди. ХХ ст. Папір, акварель. 68,5х56"
Бережний Микола Федоров.,"Окраїна міста. Папір, акварель. 59х64"
Бережний Микола Федоров.,"Етюд. 1973. Папір, акварель. 56х63"
Бережний Микола Федоров.,"Натюрморт з рибою. 1977. Папір, акварель. 75х61"
Бережний Микола Федоров.,"Старий рудник. 1973. Папір, акварель. 61х75"
Бережний Микола Федоров.,"Вогні нічного міста. ХХ ст. Папір, акварель. 64х81,5"
Бережний Микола Федоров.,"Військовий аеродром. ХХ ст. Папір, акварель. 62х82,5"
Бережний Микола Федоров.,"Сахалін. Старе поселення. 1971. Папір, акварель. 49х62"
Бережний Микола Федоров.,"Хмарний ранок. З серії «Бузькі мотиви». Папір, акварель. 52х67"
Бережний Микола Федоров.,"Перед грозою. 1988. Папір, пастель. 73х95"
Бережний Микола Федоров.,"Косовиця. 1988. Папір, пастель. 73х95"
Бережний Олександр Мик.,"Синочок. 1976. Папір, акварель. 44х38,5"
Бернштейн Еммануїл Бенц.,"Огорожа Казанського собору. ХХ ст. Папір, кольорова ліногравюра. 36х30"
Бесєдін Сергій Фотійович,"Цікаво. 1957. Папір, вугілля, олівець, крейда. 76,5х55,6"
Бесєдін Сергій Фотійович,"К ночі (Ніччю 24 жовтня. В Смольний). 1970. Папір, вугілля. 62х49"
Бесєдін Сергій Фотійович,"В.І. Ленін на засіданні. 1971. Папір, олівець. 19х27"
Бесєдін Сергій Фотійович,"Портрет художника О. Кокеля. 1955. Папір, літографія. 43х32"
Бесєдін Сергій Фотійович,"Портрет художника Г. Верейського. 1958. Папір, літографія. 34,5х28"
Бесєдін Сергій Фотійович,"Студент. 1976. Картон, вугілля. 60х45"
Беспалов Іван Миколайович,"Ескіз до картини «Урожай». 1961. Папір, кольорові олівці. 24х55,2"
Бетехтін Орест Георгійов.,"Вперед. 1959. Папір, офорт. 62х47"
Биков Анатолій Федорович,"Чумацьким шляхом. 1992. Папір, акварель. 49х62 (у світлі)"
Биков Анатолій Федорович,"Літо. 1991. Папір, акварель. 53,5х62,5"
Биков Анатолій Федорович,"Мир полю моєму. 1971. Папір, акварель. 51х65"
Биков Анатолій Федорович,"Квіти у вазі. 1995. Папір, акварель. 75х50"
Биков Анатолій Федорович,"Розлив. 2001. Папір, акварель. 36х48"
Биков Анатолій Федорович,"Татарський дворик. Крим. 2001. Папір, акварель. 37х49"
Биков Анатолій Федорович,"Березневий день. 1990. Папір, акварель. 57х50"
Биков Анатолій Федорович,"Порт в Маріуполі. 1985. Папір, літографія. 24х30 (у світлі)"
Биков Анатолій Федорович,"Сутінки. 2001. Папір, акварель. 43х56"
Биков Анатолій Федорович,"Наближення дощу. 2004. Папір, акварель. 41х49"
Биков Анатолій Федорович,"Стара верба. 2004. Папір, акварель. 50х35"
Биков Анатолій Федорович,"Полудень. 2000. Папір, акварель. 30х43"
Биков Анатолій Федорович,"Відображення. 2001. Папір, акварель. 35х50"
Биков Анатолій Федорович,"Весняний розлив. 1985. Папір, акварель. 30х45"
Биков Анатолій Федорович,"Хлібороб. Папір, акварель. 50х57"
Биков Анатолій Федорович,"Човни. Папір, акварель. 36,5х48,5"
Биков Анатолій Федорович,"Катери і човни. Папір, акварель. 35,5х48,"
Биков Анатолій Федорович,"На берегу. Папір, акварель. 36,5х47,5"
Биков Анатолій Федорович,"Скелі. Папір, акварель. 50,5х39"
Биков Анатолій Федорович,"Катер. Папір, акварель. 33,5х41,5"
Биков Анатолій Федорович,"Труби. Папір, акварель. 21х29,5"
Биков Анатолій Федорович,"Обеліск. Папір, акварель. 28,5х20"
